Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update,Attribute Id,Brand Id
NISSAN,Europe1/Brand/CAPRISTO EXHAUST,113,Yes,nissan-parts,NISSAN,Nissan_2.jpg,NISSAN Car Parts & Accessories | Tuning Empire,NISSAN,Tuning Empire is offering a wide selection of tuning parts and accessories for NISSAN models.,Yes,Products only,,No,,,Brand layout,,3756,58
Bugatti,Europe1/Brand/CAPRISTO EXHAUST,68,Yes,bugatti-parts,Bugatti,Bugatti.jpg,Bugatti Car Parts & Accessories | Tuning Empire,Bugatti,Tuning Empire is offering a wide selection of tuning parts and accessories for Bugatti models.,Yes,Products only,,Yes,,,Brand layout,,3636,58
Bentley,Europe1/Brand/CAPRISTO EXHAUST,34,Yes,bentley-parts,Bentley,Bentley_1.jpg,Bentley Car Parts & Accessories | Tuning Empire,Bentley,Tuning Empire is offering a wide selection of tuning parts and accessories for Bentley models.,Yes,Products only,,Yes,,,Brand layout,,5,58
Rolls-Royce,Europe1/Brand/CAPRISTO EXHAUST,128,Yes,rolls-royce-parts,Rolls-Royce,Rolls-Royce.jpg,Rolls-Royce Car Parts & Accessories | Tuning Empire,Rolls-Royce,Tuning Empire is offering a wide selection of tuning parts and accessories for Rolls-Royce models.,Yes,Products only,,No,,,Brand layout,,28,58
Volkswagen,Europe1/Brand/CAPRISTO EXHAUST,133,Yes,volkswagen-parts,Volkswagen,volkswagen_10.jpg,Volkswagen Car Parts & Accessories | Tuning Empire,Volkswagen,Tuning Empire is offering a wide selection of tuning parts and accessories for Volkswagen models.,Yes,Products only,,No,,,Brand layout,,29,58
Range Rover,Europe1/Brand/CAPRISTO EXHAUST,123,Yes,range-rover-parts,Range Rover,Range_Rover_1.jpg,Range Rover Car Parts & Accessories | Tuning Empire,Range Rover,Tuning Empire is offering a wide selection of tuning parts and accessories for Range Rover models.,Yes,Products only,,No,,,Brand layout,,27,58
Porsche,Europe1/Brand/CAPRISTO EXHAUST,118,Yes,porsche-parts,,Porsche_9.jpg,Porsche Car Parts & Accessories | Tuning Empire,,Tuning Empire is offering a wide selection of tuning parts and accessories for Porsche models.,Yes,Products only,,No,,,Brand layout,,26,58
BMW,Europe1/Brand/CAPRISTO EXHAUST,43,Yes,bmw-parts,BMW ,bmw_12.jpg,BMW Car Parts & Accessories | Tuning Empire,BMW,Tuning Empire is offering a wide selection of tuning parts and accessories for BMW models.,Yes,Products only,,Yes,,,Brand layout,,6,58
Audi,Europe1/Brand/CAPRISTO EXHAUST,25,Yes,audi-parts,Audi,Audi_1.jpg,Audi Car Parts & Accessories | Tuning Empire,Audi,Tuning Empire is offering a wide selection of tuning parts and accessories for Audi models.,Yes,Products only,,Yes,,,Brand layout,,4,58
Aston Martin,Europe1/Brand/CAPRISTO EXHAUST,1,Yes,aston-martin-parts,Aston Martin,Aston_Martin_1.jpg,Aston Martin Car Parts & Accessories | Tuning Empire ,Aston Martin,Tuning Empire is offering a wide selection of tuning parts and accessories for Aston Martin models.,Yes,Products only,,Yes,,,Brand layout,,3,58
Ferrari,Europe1/Brand/CAPRISTO EXHAUST,52,Yes,ferrari-parts,Ferrari,Ferrari_1.jpg,Ferrari Car Parts & Accessories | Tuning Empire,Ferrari,Tuning Empire is offering a wide selection of tuning parts and accessories for Ferrari models.,Yes,Products only,,Yes,,,Brand layout,,10,58
Lamborghini,Europe1/Brand/CAPRISTO EXHAUST,61,Yes,lamborghini-parts,Lamborghini,Lamborghini.jpg,Lamborghini Car Parts & Accessories | Tuning Empire,Lamborghini,Tuning Empire is offering a wide selection of tuning parts and accessories for Lamborghini models.,Yes,Products only,,Yes,,,Brand layout,,16,58
Maserati,Europe1/Brand/CAPRISTO EXHAUST,73,Yes,maserati-parts,maserati,Maserati_main.jpg,Maserati Car Parts & Accessories | Tuning Empire,maserati,Tuning Empire is offering a wide selection of tuning parts and accessories for Maserati models.,Yes,Products only,,Yes,,,Brand layout,,17,58
McLaren,Europe1/Brand/CAPRISTO EXHAUST,78,Yes,mclaren-parts,McLaren,Mclaren.jpg,McLaren Car Parts & Accessories | Tuning Empire,McLaren,Tuning Empire is offering a wide selection of tuning parts and accessories for McLaren models.,Yes,Products only,,No,,,Brand layout,,24,58
Mercedes-Benz ,Europe1/Brand/CAPRISTO EXHAUST,108,Yes,mercedes-benz-parts,Mercedes-Benz ,Mercedes_2.jpg,Mercedes-Benz Car Parts & Accessories | Tuning Empire,Mercedes-Benz ,Tuning Empire is offering a wide selection of tuning parts and accessories for Mercedes-Benz models.,Yes,Products only,,No,,,Brand layout,,25,58
Aston Martin DB9,Europe1/Brand/CAPRISTO EXHAUST/Aston Martin,1,Yes,aston-martin-db9,,DBS_Aston_Martin_.jpg,,,,Yes,Products only,,Yes,,,Brand layout,,14,58
Aston Martin Vantage,Europe1/Brand/CAPRISTO EXHAUST/Aston Martin,34,Yes,aston-martin-vantage,,Aston-Martin-Vantage.jpg,,,,Yes,Products only,,Yes,,,Brand layout,,13,58
Aston Martin Vanquish,Europe1/Brand/CAPRISTO EXHAUST/Aston Martin,43,Yes,aston-martin-vanquish,,_Aston_Martin_Vanquish_New.jpg,,,,Yes,Products only,,Yes,,,Brand layout,,12,58
